month,month_end,symbols,names,sector,mapped_cik,mapping_method,status,resolved,provenance_complete,ratio,financial_period_end,filed,accession,form
2009-01,2009-01-31,GD,General Dynamics,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GE,General Electric,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GIS,General Mills,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GM,General Motors,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GPC,Genuine Parts,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GENZ,Genzyme Corp.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GILD,Gilead Sciences,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GR,Goodrich Corporation,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GT,Goodyear Tire & Rubber,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GOOG,Google Inc.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,GWW,Grainger (W.W.) Inc.,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,HAL,Halliburton Co.,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,HOG,Harley-Davidson,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,HAR,Harman Int'l Industries,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,HRS,Harris Corporation,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,HAS,Hasbro Inc.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,HNZ,Heinz (H.J.),Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,HPC,Hercules Inc.,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,HES,Hess Corporation,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
