symbol,sec_quarter_end,yfinance_statement_date,sec_provisional_de,yfinance_de,relative_gap_pct,sec_debt_quarters,mapping_status
AAPL,2026-03-28,2026-03-31,0.7954756740006198,0.7954756740006198,0.0,8,검증 필요: commercial paper와 장기부채 구성요소 합산
MSFT,2026-03-31,2026-03-31,,0.137474750643753,,5,불완전: commercial paper 미보고 분기를 0으로 간주할 수 없음
GOOGL,2026-06-30,2026-06-30,0.15638895828128904,0.17604921309018237,11.167476675298875,6,불완전: 태그 전환과 finance lease 포함 범위 확인 필요
HD,2026-05-03,2026-04-30,3.856782470808707,4.55218394118495,15.27621641306584,8,검증 필요: commercial paper와 current/noncurrent 합산
JNJ,2026-06-28,2026-06-30,0.5770910075202128,0.5770910075202128,0.0,8,불완전: current maturity가 분기별 short-term borrowings에 포함되는지 확인 필요
PG,2026-03-31,2026-03-31,0.6765087427600446,0.6793138244197781,0.4129286875810867,8,검증 필요: DebtCurrent와 noncurrent debt 합산
COST,2026-05-10,2026-05-31,0.16920827240442865,0.2428004416723865,30.30973451327434,8,검증 필요: current/noncurrent debt 합산
CAT,2026-03-31,2026-03-31,,2.3078077273458013,,2,불가: 표준 태그는 주로 연말 값만 제공
XOM,2026-03-31,2026-03-31,0.18736069124659468,0.18736069124659468,0.0,8,검증 필요: 선행 CIK의 current/noncurrent debt 합산
LIN,2026-03-31,2026-03-31,0.6823886324742001,0.6823886324742001,0.0,8,직접 총부채 표준 태그 사용 가능
